benchmark kvrocks-topling
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          527.17          ---          ---        19.46656        17.15100        59.90300       132.09500      1075.03 
Gets        52634.09     52631.70         2.39        18.78902        16.76700        55.55100        81.40700    107173.83 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      53161.26     52631.70         2.39        18.79574        16.76700        55.55100        81.91900    108248.87 


Request Latency Distribution
Type     <= msec         Percent
HSET    462.847       97.188
HSET    466.943       97.344
HSET    473.087       97.500
HSET    477.183       97.656
HSET    483.327       97.812
HSET    489.471       97.969
HSET    497.663       98.125
HSET    503.807       98.281
HSET    511.999       98.438
HSET    516.095       98.516
HSET    520.191       98.594
HSET    524.287       98.672
HSET    528.383       98.750
HSET    536.575       98.828
HSET    540.671       98.906
HSET    548.863       98.984
HSET    552.959       99.062
HSET    561.151       99.141
HSET    569.343       99.219
HSET    573.439       99.258
HSET    581.631       99.297
HSET    585.727       99.336
HSET    589.823       99.375
HSET    593.919       99.414
HSET    602.111       99.453
HSET    606.207       99.492
HSET    614.399       99.531
HSET    622.591       99.570
HSET    630.783       99.609
HSET    638.975       99.629
HSET    643.071       99.648
HSET    647.167       99.668
HSET    655.359       99.688
HSET    659.455       99.707
HSET    667.647       99.727
HSET    675.839       99.746
HSET    684.031       99.766
HSET    692.223       99.785
HSET    704.511       99.805
HSET    712.703       99.814
HSET    720.895       99.824
HSET    724.991       99.834
HSET    733.183       99.844
HSET    737.279       99.854
HSET    745.471       99.863
HSET    753.663       99.873
HSET    765.951       99.883
HSET    778.239       99.893
HSET    786.431       99.902
HSET    790.527       99.907
HSET    794.623       99.912
HSET    802.815       99.917
HSET    811.007       99.922
HSET    823.295       99.927
HSET    831.487       99.932
HSET    851.967       99.937
HSET    872.447       99.941
HSET    888.831       99.946
HSET    909.311       99.951
HSET    921.599       99.954
HSET    925.695       99.956
HSET    929.791       99.958
HSET    933.887       99.961
HSET    946.175       99.963
HSET    950.271       99.966
HSET    958.463       99.968
