benchmark kvrocks
20        Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets          518.79          ---          ---        19.82097        17.40700        60.92700       134.14300      1057.88 
Gets        51797.27     51794.89         2.38        19.09143        17.02300        56.57500        82.43100    105356.62 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      52316.06     51794.89         2.38        19.09866        17.02300        56.57500        82.94300    106414.50 


Request Latency Distribution
Type     <= msec         Percent
Totals       4482.00       210.46223       194.55900       522.23900       794.62300     18151.69 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
HSET      5.887        0.000
HSET     97.791        5.000
HSET    113.663       10.000
HSET    125.951       15.000
HSET    136.191       20.000
HSET    146.431       25.000
HSET    156.671       30.000
HSET    165.887       35.000
HSET    176.127       40.000
HSET    185.343       45.000
HSET    194.559       50.000
HSET    199.679       52.500
HSET    204.799       55.000
HSET    210.943       57.500
HSET    216.063       60.000
HSET    221.183       62.500
HSET    228.351       65.000
HSET    234.495       67.500
HSET    240.639       70.000
HSET    247.807       72.500
HSET    254.975       75.000
HSET    259.071       76.250
HSET    264.191       77.500
HSET    268.287       78.750
HSET    272.383       80.000
HSET    278.527       81.250
HSET    282.623       82.500
HSET    288.767       83.750
HSET    294.911       85.000
HSET    301.055       86.250
HSET    307.199       87.500
HSET    311.295       88.125
HSET    315.391       88.750
HSET    319.487       89.375
HSET    323.583       90.000
HSET    327.679       90.625
HSET    333.823       91.250
HSET    337.919       91.875
HSET    344.063       92.500
HSET    350.207       93.125
HSET    358.399       93.750
HSET    362.495       94.062
HSET    366.591       94.375
HSET    370.687       94.688
HSET    374.783       95.000
HSET    380.927       95.312
HSET    385.023       95.625
HSET    391.167       95.938
HSET    399.359       96.250
HSET    405.503       96.562
HSET    413.695       96.875
HSET    417.791       97.031
HSET    423.935       97.188
HSET    428.031       97.344
HSET    432.127       97.500
HSET    438.271       97.656
HSET    444.415       97.812
HSET    450.559       97.969
HSET    458.751       98.125
HSET    466.943       98.281
HSET    475.135       98.438
HSET    481.279       98.516
HSET    485.375       98.594
HSET    491.519       98.672
HSET    497.663       98.750
HSET    505.855       98.828
HSET    511.999       98.906
HSET    520.191       98.984
HSET    528.383       99.062
HSET    536.575       99.141
HSET    548.863       99.219
HSET    552.959       99.258
HSET    561.151       99.297
HSET    569.343       99.336
HSET    573.439       99.375
HSET    581.631       99.414
HSET    589.823       99.453
HSET    598.015       99.492
HSET    606.207       99.531
HSET    614.399       99.570
HSET    626.687       99.609
HSET    634.879       99.629
HSET    643.071       99.648
HSET    651.263       99.668
HSET    659.455       99.688
HSET    667.647       99.707
HSET    675.839       99.727
HSET    684.031       99.746
HSET    692.223       99.766
HSET    704.511       99.785
HSET    720.895       99.805
HSET    724.991       99.814
